geneA	geneB	combined_score
Rv0001	Rv0002	998
Rv0001	Rv0003	958
Rv0001	Rv0005	841
Rv0001	Rv0006	820
Rv0001	Rv0058	959
Rv0001	Rv0667	781
Rv0001	Rv1536	769
Rv0001	Rv1629	720
Rv0001	Rv1708	774
Rv0001	Rv2116	932
Rv0001	Rv2150c	879
Rv0001	Rv2737c	825
Rv0001	Rv2748c	706
Rv0001	Rv3918c	725
Rv0001	Rv3921c	770
Rv0001	Rv3923c	834
Rv0001	Rv3924c	927
Rv0002	Rv0003	992
Rv0002	Rv0004	910
Rv0002	Rv0005	952
Rv0002	Rv0006	887
Rv0002	Rv0058	810
Rv0002	Rv0427c	850
Rv0002	Rv0570	709
Rv0002	Rv0938	895
Rv0002	Rv1321	756
Rv0002	Rv1329c	716
Rv0002	Rv1537	941
Rv0002	Rv1547	993
Rv0002	Rv1629	997
Rv0002	Rv2090	948
Rv0002	Rv2101	920
Rv0002	Rv2191	967
Rv0002	Rv2413c	989
Rv0002	Rv2529	781
Rv0002	Rv2697c	743
Rv0002	Rv2737c	935
Rv0002	Rv2764c	713
Rv0002	Rv2902c	861
Rv0002	Rv3051c	710
Rv0002	Rv3056	919
Rv0002	Rv3062	892
Rv0002	Rv3370c	905
Rv0002	Rv3394c	861
Rv0002	Rv3644c	988
Rv0002	Rv3646c	834
Rv0002	Rv3711c	979
Rv0002	Rv3721c	997
Rv0002	Rv3731	892
Rv0002	Rv3921c	748
Rv0002	Rv3923c	840
Rv0002	Rv3924c	803
Rv0003	Rv0004	931
Rv0003	Rv0005	975
Rv0003	Rv0006	861
Rv0003	Rv0058	757
Rv0003	Rv1696	714
Rv0003	Rv2362c	752
Rv0003	Rv2737c	749
Rv0003	Rv3715c	852
Rv0003	Rv3923c	884
Rv0003	Rv3924c	737
Rv0004	Rv0005	797
Rv0004	Rv0007	704
Rv0004	Rv1122	708
Rv0004	Rv2413c	811
Rv0005	Rv0006	999
Rv0005	Rv0007	772
Rv0005	Rv0350	818
Rv0005	Rv0352	793
Rv0005	Rv0440	892
Rv0005	Rv0667	976
Rv0005	Rv0668	949
Rv0005	Rv0682	861
Rv0005	Rv0684	854
Rv0005	Rv0685	808
Rv0005	Rv0701	735
Rv0005	Rv0704	700
Rv0005	Rv0730	956
Rv0005	Rv1208	755
Rv0005	Rv1304	714
Rv0005	Rv1310	845
Rv0005	Rv1436	719
Rv0005	Rv1484	966
Rv0005	Rv1612	858
Rv0005	Rv1629	819
Rv0005	Rv1650	820
Rv0005	Rv1694	912
Rv0005	Rv1821	749
Rv0005	Rv1908c	907
Rv0005	Rv2043c	949
Rv0005	Rv2150c	835
Rv0005	Rv2343c	771
Rv0005	Rv2373c	836
Rv0005	Rv2416c	870
Rv0005	Rv2737c	919
Rv0005	Rv2764c	712
Rv0005	Rv2839c	753
Rv0005	Rv3100c	837
Rv0005	Rv3240c	879
Rv0005	Rv3361c	997
Rv0005	Rv3396c	709
Rv0005	Rv3457c	867
Rv0005	Rv3608c	701
Rv0005	Rv3646c	760
Rv0005	Rv3795	962
Rv0005	Rv3846	823
Rv0005	Rv3859c	783
Rv0005	Rv3919c	877
Rv0006	Rv0007	946
Rv0006	Rv0058	748
Rv0006	Rv0350	747
Rv0006	Rv0640	713
Rv0006	Rv0667	980
Rv0006	Rv0668	955
Rv0006	Rv0682	963
Rv0006	Rv0684	859
Rv0006	Rv0685	873
Rv0006	Rv0701	781
Rv0006	Rv0702	757
Rv0006	Rv1310	728
Rv0006	Rv1483	774
Rv0006	Rv1484	968
Rv0006	Rv1630	769
Rv0006	Rv1694	949
Rv0006	Rv1797	746
Rv0006	Rv1908c	918
Rv0006	Rv2043c	965
Rv0006	Rv2150c	870
Rv0006	Rv2373c	720
Rv0006	Rv2416c	870
Rv0006	Rv2447c	702
Rv0006	Rv2737c	891
Rv0006	Rv2764c	710
Rv0006	Rv3100c	815
Rv0006	Rv3240c	743
Rv0006	Rv3423c	711
Rv0006	Rv3457c	941
Rv0006	Rv3793	778
Rv0006	Rv3794	914
Rv0006	Rv3795	965
Rv0006	Rv3806c	784
Rv0006	Rv3846	771
Rv0006	Rv3919c	933
Rv0007	Rv0538	722
Rv0007	Rv1024	771
Rv0007	Rv1565c	811
Rv0007	Rv2164c	729
Rv0007	Rv2843	719
Rv0007	Rv3258c	707
Rv0007	Rv3658c	715
Rv0007	Rv3835	722
Rv0007	Rv3909	743
Rv0008c	Rv0009	770
Rv0008c	Rv0011c	937
Rv0008c	Rv2145c	980
Rv0009	Rv0120c	724
Rv0009	Rv0350	828
Rv0009	Rv0352	829
Rv0009	Rv0640	837
Rv0009	Rv0682	854
Rv0009	Rv0684	813
Rv0009	Rv0701	759
Rv0009	Rv0704	838
Rv0009	Rv0710	809
Rv0009	Rv0714	861
Rv0009	Rv0715	831
Rv0009	Rv0719	788
Rv0009	Rv0723	830
Rv0009	Rv0832	713
Rv0009	Rv1253	861
Rv0009	Rv1371	704
Rv0009	Rv1527c	925
Rv0009	Rv1630	760
Rv0009	Rv1663	842
Rv0009	Rv2048c	926
Rv0009	Rv2299c	886
Rv0009	Rv2328	713
Rv0009	Rv2367c	700
Rv0009	Rv2373c	840
Rv0009	Rv2420c	792
Rv0009	Rv2442c	820
Rv0009	Rv2933	925
Rv0009	Rv2940c	926
Rv0009	Rv3036c	713
Rv0009	Rv3157	770
Rv0009	Rv3158	725
Rv0009	Rv3211	880
Rv0009	Rv3443c	838
Rv0009	Rv3456c	812
Rv0009	Rv3457c	719
Rv0009	Rv3460c	820
Rv0009	Rv3812	713
Rv0009	Rv3825c	925
Rv0009	Rv3846	823
Rv0010c	Rv0011c	903
Rv0010c	Rv0039c	810
Rv0010c	Rv0057	868
Rv0010c	Rv0431	711
Rv0010c	Rv1006	811
Rv0010c	Rv1100	734
Rv0010c	Rv1109c	718
Rv0010c	Rv1870c	808
Rv0010c	Rv2171	735
Rv0010c	Rv2585c	866
Rv0010c	Rv2732c	735
Rv0010c	Rv3004	740
Rv0010c	Rv3839	764
Rv0010c	Rv3843c	940
Rv0011c	Rv0012	784
Rv0011c	Rv0013	749
Rv0011c	Rv0016c	901
Rv0011c	Rv0057	804
Rv0011c	Rv1423	812
Rv0011c	Rv2145c	911
Rv0011c	Rv2150c	875
Rv0011c	Rv2151c	843
Rv0011c	Rv2163c	900
Rv0011c	Rv3843c	804
Rv0012	Rv0013	829
Rv0012	Rv1824	840
Rv0012	Rv1825	774
Rv0013	Rv0812	922
Rv0013	Rv0948c	928
Rv0013	Rv1005c	999
Rv0013	Rv1435c	774
Rv0013	Rv1609	999
Rv0013	Rv1611	997
Rv0013	Rv1612	975
Rv0013	Rv1613	974
Rv0013	Rv1885c	903
Rv0013	Rv2192c	999
Rv0013	Rv2218	700
Rv0013	Rv2386c	996
Rv0013	Rv2540c	917
Rv0013	Rv3215	897
Rv0013	Rv3231c	803
Rv0014c	Rv0015c	990
Rv0014c	Rv0016c	993
Rv0014c	Rv0017c	993
Rv0014c	Rv0018c	999
Rv0014c	Rv0019c	991
Rv0014c	Rv0020c	996
Rv0014c	Rv0178	804
Rv0014c	Rv0410c	857
Rv0014c	Rv1018c	777
Rv0014c	Rv1407	719
Rv0014c	Rv1614	770
Rv0014c	Rv1747	945
Rv0014c	Rv1827	999
Rv0014c	Rv2145c	980
Rv0014c	Rv2150c	819
Rv0014c	Rv2152c	807
Rv0014c	Rv2927c	712
Rv0014c	Rv3221A	718
Rv0014c	Rv3223c	843
Rv0014c	Rv3360	937
Rv0014c	Rv3783	741
Rv0014c	Rv3910	775
Rv0015c	Rv0016c	993
Rv0015c	Rv0017c	987
Rv0015c	Rv0018c	998
Rv0015c	Rv0019c	979
Rv0015c	Rv0020c	970
Rv0015c	Rv0410c	703
Rv0015c	Rv0513	733
Rv0015c	Rv1827	960
Rv0015c	Rv2145c	960
Rv0015c	Rv2150c	851
Rv0015c	Rv2152c	782
Rv0015c	Rv3910	736
Rv0016c	Rv0017c	999
Rv0016c	Rv0018c	992
Rv0016c	Rv0019c	967
Rv0016c	Rv0020c	916
Rv0016c	Rv0050	875
Rv0016c	Rv2145c	932
Rv0016c	Rv2150c	779
Rv0016c	Rv2151c	968
Rv0016c	Rv2154c	944
Rv0016c	Rv2163c	948
Rv0016c	Rv3627c	804
Rv0016c	Rv3682	927
Rv0017c	Rv0018c	982
Rv0017c	Rv0019c	933
Rv0017c	Rv0020c	885
Rv0017c	Rv0050	778
Rv0017c	Rv1315	708
Rv0017c	Rv2147c	893
Rv0017c	Rv2150c	964
Rv0017c	Rv2151c	970
Rv0017c	Rv2152c	813
Rv0017c	Rv2153c	934
Rv0017c	Rv2155c	718
Rv0017c	Rv2156c	833
Rv0017c	Rv2157c	792
Rv0017c	Rv2163c	984
Rv0017c	Rv2748c	716
Rv0017c	Rv2864c	782
Rv0017c	Rv2981c	705
Rv0017c	Rv3682	869
Rv0017c	Rv3910	708
Rv0018c	Rv0019c	988
Rv0018c	Rv0020c	960
Rv0018c	Rv0410c	897
Rv0018c	Rv0843	706
Rv0018c	Rv0931c	903
Rv0018c	Rv1017c	781
Rv0018c	Rv1248c	770
Rv0018c	Rv1266c	888
Rv0018c	Rv1371	760
Rv0018c	Rv1406	748
Rv0018c	Rv1407	942
Rv0018c	Rv1422	813
Rv0018c	Rv1734c	742
Rv0018c	Rv1743	902
Rv0018c	Rv1746	888
Rv0018c	Rv1827	788
Rv0018c	Rv2088	897
Rv0018c	Rv2176	950
Rv0018c	Rv2211c	874
Rv0018c	Rv2215	749
Rv0018c	Rv2495c	748
Rv0018c	Rv2496c	819
Rv0018c	Rv2497c	710
Rv0018c	Rv2914c	880
Rv0018c	Rv3080c	794
Rv0018c	Rv3404c	748
Rv0019c	Rv0020c	981
Rv0019c	Rv0410c	725
Rv0019c	Rv1248c	985
Rv0019c	Rv1746	726
Rv0019c	Rv2150c	870
Rv0019c	Rv2176	748
Rv0019c	Rv3360	862
Rv0020c	Rv0556	731
Rv0020c	Rv0931c	763
Rv0020c	Rv1109c	715
Rv0020c	Rv1248c	988
Rv0020c	Rv1266c	712
Rv0020c	Rv1743	777
Rv0020c	Rv1746	751
Rv0020c	Rv2145c	729
Rv0020c	Rv2360c	721
Rv0020c	Rv3212	748
Rv0020c	Rv3910	999
Rv0020c	Rv3915	840
Rv0021c	Rv0252	906
Rv0021c	Rv0253	900
Rv0021c	Rv0261c	908
Rv0021c	Rv0267	908
Rv0021c	Rv1161	900
Rv0021c	Rv1162	901
Rv0021c	Rv1164	902
Rv0021c	Rv1736c	900
Rv0021c	Rv1737c	908
Rv0021c	Rv2329c	908
Rv0021c	Rv2524c	780
Rv0021c	Rv2781c	929
Rv0022c	Rv0023	773
Rv0022c	Rv0025	737
Rv0022c	Rv3446c	788
Rv0022c	Rv3448	799
Rv0022c	Rv3449	801
Rv0023	Rv0024	825
Rv0023	Rv0025	833
Rv0023	Rv0238	861
Rv0023	Rv1990c	861
Rv0024	Rv0025	727
Rv0024	Rv2864c	817
Rv0027	Rv0028	932
Rv0028	Rv0029	730
Rv0029	Rv0030	798
Rv0032	Rv0033	973
Rv0032	Rv0034	971
Rv0032	Rv0035	970
Rv0032	Rv1568	989
Rv0032	Rv1569	932
Rv0032	Rv1570	931
Rv0032	Rv1589	923
Rv0032	Rv1918c	761
Rv0033	Rv0034	983
Rv0033	Rv0035	987
Rv0033	Rv0310c	816
Rv0033	Rv2243	889
Rv0033	Rv2383c	825
Rv0033	Rv2442c	733
Rv0033	Rv2524c	987
Rv0033	Rv3145	760
Rv0033	Rv3146	851
Rv0033	Rv3147	856
Rv0033	Rv3148	793
Rv0033	Rv3149	836
Rv0033	Rv3150	732
Rv0033	Rv3151	738
Rv0033	Rv3152	750
Rv0033	Rv3153	851
Rv0033	Rv3157	754
Rv0033	Rv3158	758
Rv0034	Rv0035	982
Rv0034	Rv2305	714
Rv0035	Rv0099	752
Rv0035	Rv0101	714
Rv0035	Rv0873	884
Rv0035	Rv1527c	706
Rv0035	Rv1918c	744
Rv0035	Rv2048c	706
Rv0035	Rv2380c	829
Rv0035	Rv2383c	720
Rv0035	Rv2933	745
Rv0035	Rv2940c	705
Rv0035	Rv3800c	708
Rv0035	Rv3825c	722
Rv0036c	Rv0037c	818
Rv0036c	Rv0038	739
Rv0036c	Rv0831c	870
Rv0036c	Rv0941c	868
Rv0036c	Rv0976c	700
Rv0037c	Rv0038	765
Rv0038	Rv0117	749
Rv0038	Rv0212c	794
Rv0038	Rv0570	969
Rv0038	Rv0624	731
Rv0038	Rv0653c	733
Rv0038	Rv0691c	798
Rv0038	Rv0894	772
Rv0038	Rv0903c	744
Rv0038	Rv1019	841
Rv0038	Rv1100	763
Rv0038	Rv1152	781
Rv0038	Rv1267c	732
Rv0038	Rv1359	823
Rv0038	Rv1460	738
Rv0038	Rv1488	805
Rv0038	Rv1674c	765
Rv0038	Rv1725c	732
Rv0038	Rv1776c	797
Rv0038	Rv1931c	746
Rv0038	Rv2359	734
Rv0038	Rv2554c	741
Rv0038	Rv2621c	703
Rv0038	Rv2788	793
Rv0038	Rv3051c	969
Rv0038	Rv3167c	735
Rv0038	Rv3183	731
Rv0038	Rv3263	797
Rv0038	Rv3328c	745
Rv0038	Rv3736	754
Rv0038	Rv3840	731
Rv0039c	Rv0040c	794
Rv0039c	Rv0041	701
Rv0039c	Rv1006	870
Rv0039c	Rv1021	804
Rv0040c	Rv0041	731
Rv0040c	Rv0312	812
Rv0040c	Rv0888	703
Rv0040c	Rv1158c	748
Rv0040c	Rv1477	810
Rv0040c	Rv1478	738
Rv0040c	Rv1566c	747
Rv0040c	Rv2721c	803
Rv0040c	Rv3221c	808
Rv0040c	Rv3810	812
Rv0041	Rv0641	760
Rv0041	Rv0667	707
Rv0041	Rv0684	842
Rv0041	Rv0702	779
Rv0041	Rv1007c	996
Rv0041	Rv1292	994
Rv0041	Rv1354c	900
Rv0041	Rv1536	997
Rv0041	Rv1629	724
Rv0041	Rv1640c	894
Rv0041	Rv1650	994
Rv0041	Rv1689	966
Rv0041	Rv2357c	737
Rv0041	Rv2440c	751
Rv0041	Rv2448c	973
Rv0041	Rv2555c	877
Rv0041	Rv2572c	942
Rv0041	Rv2580c	771
Rv0041	Rv2614c	942
Rv0041	Rv2839c	736
Rv0041	Rv2845c	930
Rv0041	Rv2992c	989
Rv0041	Rv3014c	774
Rv0041	Rv3336c	825
Rv0041	Rv3459c	857
Rv0041	Rv3580c	881
Rv0041	Rv3598c	915
Rv0041	Rv3646c	885
Rv0041	Rv3834c	880
Rv0042c	Rv0043c	775
Rv0042c	Rv2299c	763
Rv0043c	Rv0044c	766
Rv0043c	Rv0045c	731
Rv0043c	Rv0212c	755
Rv0043c	Rv0674	730
Rv0043c	Rv0691c	754
Rv0043c	Rv1267c	773
Rv0043c	Rv1453	730
Rv0043c	Rv1556	771
Rv0043c	Rv1674c	731
Rv0043c	Rv1675c	726
Rv0043c	Rv3124	764
Rv0043c	Rv3263	798
Rv0043c	Rv3692	767
Rv0043c	Rv3736	761
Rv0043c	Rv3840	773
Rv0044c	Rv0045c	819
Rv0044c	Rv0046c	781
Rv0044c	Rv0047c	726
Rv0044c	Rv0132c	765
Rv0044c	Rv0407	804
Rv0044c	Rv1261c	755
Rv0044c	Rv1558	768
Rv0044c	Rv3178	774
Rv0044c	Rv3261	742
Rv0044c	Rv3262	734
Rv0044c	Rv3547	775
Rv0045c	Rv0046c	709
Rv0045c	Rv1984c	751
Rv0046c	Rv0047c	959
Rv0046c	Rv0650	923
Rv0046c	Rv1604	983
Rv0046c	Rv2612c	896
Rv0046c	Rv2701c	959
Rv0046c	Rv3068c	946
Rv0047c	Rv0822c	727
Rv0047c	Rv2011c	878
Rv0048c	Rv0188	746
Rv0048c	Rv0517	737
Rv0048c	Rv0875c	756
Rv0048c	Rv1075c	715
Rv0048c	Rv1171	767
Rv0048c	Rv1635c	713
Rv0048c	Rv2079	739
Rv0048c	Rv2423	752
Rv0048c	Rv2525c	704
Rv0048c	Rv3166c	702
Rv0048c	Rv3202c	738
Rv0048c	Rv3435c	715
Rv0048c	Rv3481c	707
Rv0048c	Rv3773c	744
Rv0048c	Rv3779	773
Rv0048c	Rv3899c	727
Rv0049	Rv0892	803
Rv0049	Rv1343c	734
Rv0049	Rv2319c	734
Rv0049	Rv2744c	704
Rv0050	Rv0051	908
Rv0050	Rv0052	734
Rv0050	Rv0053	745
Rv0050	Rv0613c	837
Rv0050	Rv1477	749
Rv0050	Rv2145c	920
Rv0050	Rv2154c	758
Rv0050	Rv2163c	813
Rv0050	Rv2518c	835
Rv0050	Rv2864c	880
Rv0050	Rv2911	872
Rv0050	Rv2927c	740
Rv0050	Rv3330	886
Rv0050	Rv3627c	804
Rv0050	Rv3682	835
Rv0051	Rv0052	937
Rv0051	Rv0053	708
Rv0051	Rv0236c	774
Rv0051	Rv0541c	810
Rv0051	Rv0955	722
Rv0051	Rv1159	865
Rv0051	Rv3604c	716
Rv0051	Rv3805c	705
Rv0052	Rv3192	871
Rv0053	Rv0054	955
Rv0053	Rv0055	999
Rv0053	Rv0056	999
Rv0053	Rv0079	829
Rv0053	Rv0105c	963
Rv0053	Rv0120c	958
Rv0053	Rv0343	899
Rv0053	Rv0352	753
Rv0053	Rv0429c	906
Rv0053	Rv0500B	999
Rv0053	Rv0634B	999
Rv0053	Rv0638	842
Rv0053	Rv0639	928
Rv0053	Rv0640	999
Rv0053	Rv0641	995
Rv0053	Rv0651	999
Rv0053	Rv0652	993
Rv0053	Rv0667	883
Rv0053	Rv0668	721
Rv0053	Rv0682	999
Rv0053	Rv0683	999
Rv0053	Rv0684	970
Rv0053	Rv0685	993
Rv0053	Rv0700	999
Rv0053	Rv0701	999
Rv0053	Rv0702	999
Rv0053	Rv0703	999
Rv0053	Rv0704	999
Rv0053	Rv0705	999
Rv0053	Rv0706	999
Rv0053	Rv0707	999
Rv0053	Rv0708	999
Rv0053	Rv0709	999
Rv0053	Rv0710	999
Rv0053	Rv0714	999
Rv0053	Rv0715	999
Rv0053	Rv0716	999
Rv0053	Rv0717	999
Rv0053	Rv0718	999
Rv0053	Rv0719	999
Rv0053	Rv0720	999
Rv0053	Rv0721	999
Rv0053	Rv0722	999
Rv0053	Rv0723	999
Rv0053	Rv0732	932
Rv0053	Rv0734	729
Rv0053	Rv0979A	992
Rv0053	Rv1010	818
Rv0053	Rv1015c	999
Rv0053	Rv1017c	752
Rv0053	Rv1298	999
Rv0053	Rv1299	928
Rv0053	Rv1306	712
Rv0053	Rv1307	986
Rv0053	Rv1388	959
Rv0053	Rv1473	780
Rv0053	Rv1475c	852
Rv0053	Rv1630	927
Rv0053	Rv1641	941
Rv0053	Rv1642	999
Rv0053	Rv1643	999
Rv0053	Rv1650	778
Rv0053	Rv1667c	780
Rv0053	Rv1668c	779
Rv0053	Rv1840c	884
Rv0053	Rv1910c	794
Rv0053	Rv1911c	794
Rv0053	Rv1988	816
Rv0053	Rv2047c	790
Rv0053	Rv2055c	999
Rv0053	Rv2056c	991
Rv0053	Rv2057c	965
Rv0053	Rv2058c	963
Rv0053	Rv2098c	885
Rv0053	Rv2099c	884
Rv0053	Rv2140c	797
Rv0053	Rv2165c	798
Rv0053	Rv2243	717
Rv0053	Rv2364c	917
Rv0053	Rv2373c	753
Rv0053	Rv2404c	948
Rv0053	Rv2412	999
Rv0053	Rv2441c	999
Rv0053	Rv2442c	999
Rv0053	Rv2445c	991
Rv0053	Rv2462c	926
Rv0053	Rv2477c	902
Rv0053	Rv2478c	765
Rv0053	Rv2524c	859
Rv0053	Rv2534c	961
Rv0053	Rv2583c	940
Rv0053	Rv2614c	866
Rv0053	Rv2785c	999
Rv0053	Rv2838c	775
Rv0053	Rv2839c	984
Rv0053	Rv2841c	862
Rv0053	Rv2842c	768
Rv0053	Rv2861c	726
Rv0053	Rv2882c	962
Rv0053	Rv2889c	928
Rv0053	Rv2890c	999
Rv0053	Rv2904c	999
Rv0053	Rv2906c	873
Rv0053	Rv2907c	879
Rv0053	Rv2909c	999
Rv0053	Rv2925c	939
Rv0053	Rv2926c	833
Rv0053	Rv3013	826
Rv0053	Rv3100c	931
Rv0053	Rv3105c	973
Rv0053	Rv3228	784
Rv0053	Rv3241c	999
Rv0053	Rv3396c	818
Rv0053	Rv3442c	999
Rv0053	Rv3443c	999
Rv0053	Rv3456c	999
Rv0053	Rv3457c	989
Rv0053	Rv3458c	999
Rv0053	Rv3459c	999
Rv0053	Rv3460c	999
Rv0053	Rv3461c	999
Rv0053	Rv3462c	881
Rv0053	Rv3628	795
Rv0053	Rv3834c	723
Rv0053	Rv3846	862
Rv0053	Rv3924c	999
Rv0054	Rv0055	866
Rv0054	Rv0056	959
Rv0054	Rv0058	893
Rv0054	Rv0640	763
Rv0054	Rv0651	750
Rv0054	Rv0683	728
Rv0054	Rv0700	784
Rv0054	Rv1402	865
Rv0054	Rv1547	843
Rv0054	Rv2228c	839
Rv0054	Rv2442c	703
Rv0054	Rv2478c	913
Rv0054	Rv2890c	704
Rv0054	Rv3370c	826
Rv0054	Rv3644c	843
Rv0054	Rv3646c	770
Rv0054	Rv3721c	809
Rv0055	Rv0056	999
Rv0055	Rv0058	713
Rv0055	Rv0079	891
Rv0055	Rv0105c	934
Rv0055	Rv0120c	923
Rv0055	Rv0429c	804
Rv0055	Rv0500B	999
Rv0055	Rv0634B	999
Rv0055	Rv0638	831
Rv0055	Rv0639	838
Rv0055	Rv0640	973
Rv0055	Rv0641	978
Rv0055	Rv0651	977
Rv0055	Rv0652	970
Rv0055	Rv0667	838
Rv0055	Rv0668	729
Rv0055	Rv0682	999
Rv0055	Rv0683	999
Rv0055	Rv0684	923
Rv0055	Rv0685	952
Rv0055	Rv0700	999
Rv0055	Rv0701	999
Rv0055	Rv0702	999
Rv0055	Rv0703	999
Rv0055	Rv0704	999
Rv0055	Rv0705	999
Rv0055	Rv0706	999
Rv0055	Rv0707	999
Rv0055	Rv0708	999
Rv0055	Rv0709	999
Rv0055	Rv0710	999
Rv0055	Rv0714	999
Rv0055	Rv0715	999
Rv0055	Rv0716	999
Rv0055	Rv0717	999
Rv0055	Rv0718	999
Rv0055	Rv0719	999
Rv0055	Rv0720	999
Rv0055	Rv0721	999
Rv0055	Rv0722	999
Rv0055	Rv0723	999
Rv0055	Rv0732	846
Rv0055	Rv0979A	985
Rv0055	Rv1015c	999
Rv0055	Rv1298	999
Rv0055	Rv1299	848
Rv0055	Rv1307	937
Rv0055	Rv1388	927
Rv0055	Rv1630	956
Rv0055	Rv1641	931
Rv0055	Rv1642	999
Rv0055	Rv1643	999
Rv0055	Rv1840c	732
Rv0055	Rv2055c	908
Rv0055	Rv2056c	949
Rv0055	Rv2057c	949
Rv0055	Rv2058c	935
Rv0055	Rv2098c	732
Rv0055	Rv2099c	732
Rv0055	Rv2404c	842
Rv0055	Rv2412	999
Rv0055	Rv2441c	999
Rv0055	Rv2442c	999
Rv0055	Rv2462c	819
Rv0055	Rv2477c	900
Rv0055	Rv2534c	915
Rv0055	Rv2583c	846
Rv0055	Rv2785c	999
Rv0055	Rv2838c	774
Rv0055	Rv2839c	879
Rv0055	Rv2841c	713
Rv0055	Rv2882c	913
Rv0055	Rv2889c	776
Rv0055	Rv2890c	987
Rv0055	Rv2904c	999
Rv0055	Rv2906c	758
Rv0055	Rv2907c	761
Rv0055	Rv2908c	703
Rv0055	Rv2909c	999
Rv0055	Rv3013	745
Rv0055	Rv3100c	840
Rv0055	Rv3105c	827
Rv0055	Rv3241c	937
Rv0055	Rv3442c	999
Rv0055	Rv3443c	999
Rv0055	Rv3456c	999
Rv0055	Rv3457c	946
Rv0055	Rv3458c	999
Rv0055	Rv3459c	999
Rv0055	Rv3460c	999
Rv0055	Rv3461c	999
Rv0055	Rv3462c	857
Rv0055	Rv3924c	999
Rv0056	Rv0057	743
Rv0056	Rv0058	831
Rv0056	Rv0079	849
Rv0056	Rv0105c	988
Rv0056	Rv0120c	956
Rv0056	Rv0429c	920
Rv0056	Rv0500B	999
Rv0056	Rv0634B	999
Rv0056	Rv0638	862
Rv0056	Rv0639	723
Rv0056	Rv0640	995
Rv0056	Rv0641	996
Rv0056	Rv0651	994
Rv0056	Rv0652	996
Rv0056	Rv0667	865
Rv0056	Rv0668	781
Rv0056	Rv0682	999
Rv0056	Rv0683	999
Rv0056	Rv0684	959
Rv0056	Rv0685	991
Rv0056	Rv0700	999
Rv0056	Rv0701	999
Rv0056	Rv0702	999
Rv0056	Rv0703	999
Rv0056	Rv0704	999
Rv0056	Rv0705	999
Rv0056	Rv0706	999
Rv0056	Rv0707	999
Rv0056	Rv0708	999
Rv0056	Rv0709	999
Rv0056	Rv0710	999
Rv0056	Rv0714	999
Rv0056	Rv0715	999
Rv0056	Rv0716	999
Rv0056	Rv0717	999
Rv0056	Rv0718	999
Rv0056	Rv0719	999
Rv0056	Rv0720	999
Rv0056	Rv0721	999
Rv0056	Rv0722	999
Rv0056	Rv0723	999
Rv0056	Rv0732	914
Rv0056	Rv0979A	985
Rv0056	Rv1015c	999
Rv0056	Rv1298	999
Rv0056	Rv1299	951
Rv0056	Rv1307	944
Rv0056	Rv1388	954
Rv0056	Rv1473	797
Rv0056	Rv1630	977
Rv0056	Rv1642	999
Rv0056	Rv1643	999
Rv0056	Rv1840c	866
Rv0056	Rv2055c	989
Rv0056	Rv2056c	967
Rv0056	Rv2057c	970
Rv0056	Rv2058c	988
Rv0056	Rv2077c	804
Rv0056	Rv2098c	867
Rv0056	Rv2099c	867
Rv0056	Rv2404c	901
Rv0056	Rv2412	999
Rv0056	Rv2420c	907
Rv0056	Rv2440c	882
Rv0056	Rv2441c	999
Rv0056	Rv2442c	999
Rv0056	Rv2445c	884
Rv0056	Rv2460c	712
Rv0056	Rv2462c	914
Rv0056	Rv2477c	911
Rv0056	Rv2534c	970
Rv0056	Rv2583c	855
Rv0056	Rv2614c	826
Rv0056	Rv2725c	912
Rv0056	Rv2785c	999
Rv0056	Rv2839c	979
Rv0056	Rv2841c	817
Rv0056	Rv2882c	975
Rv0056	Rv2889c	953
Rv0056	Rv2890c	993
Rv0056	Rv2904c	999
Rv0056	Rv2906c	757
Rv0056	Rv2907c	819
Rv0056	Rv2909c	999
Rv0056	Rv2925c	846
Rv0056	Rv3013	773
Rv0056	Rv3100c	903
Rv0056	Rv3105c	965
Rv0056	Rv3241c	885
Rv0056	Rv3442c	999
Rv0056	Rv3443c	999
Rv0056	Rv3456c	999
Rv0056	Rv3457c	975
Rv0056	Rv3458c	999
Rv0056	Rv3459c	999
Rv0056	Rv3460c	999
Rv0056	Rv3461c	999
Rv0056	Rv3610c	707
Rv0056	Rv3751	807
Rv0056	Rv3921c	737
Rv0056	Rv3924c	999
Rv0057	Rv0058	943
Rv0057	Rv3843c	870
Rv0058	Rv0059	856
Rv0058	Rv0684	720
Rv0058	Rv1402	718
Rv0058	Rv1547	820
Rv0058	Rv1629	932
Rv0058	Rv2343c	995
Rv0058	Rv2737c	841
Rv0058	Rv2943A	816
Rv0058	Rv2944	815
Rv0058	Rv3201c	753
Rv0058	Rv3202c	841
Rv0058	Rv3370c	785
Rv0058	Rv3427c	815
Rv0058	Rv3457c	741
Rv0058	Rv3638	814
Rv0058	Rv3646c	722
Rv0059	Rv0060	989
Rv0059	Rv1435c	704
Rv0060	Rv0272c	804
Rv0060	Rv1044	803
Rv0060	Rv2368c	810
Rv0061c	Rv0157A	870
Rv0061c	Rv0500A	803
Rv0061c	Rv2310	803
Rv0062	Rv0186	981
Rv0062	Rv0315	915
Rv0062	Rv1089A	903
Rv0062	Rv1090	972
Rv0062	Rv1327c	732
Rv0063	Rv0519c	704
Rv0063	Rv1352	870
Rv0063	Rv1435c	740
Rv0063	Rv2253	871
Rv0063	Rv2894c	746
Rv0063	Rv3096	730
